"","tx_id","Length","EffectiveLength","Overdispersion","logFC","logCPM","F.x","PValue","FDR","Results","tx_version","NIF_dEJ","NIF_uORF","NIF_long_3utr","NIF|__|GC(cds[-10:termination_codon])","GC_5utr","GC_cds","GC_3utr","GC_exons","GC_introns","LENGTH_5utr","LENGTH_cds","LENGTH_3utr","LENGTH_exons","LENGTH_introns","EXONS_count","dEJs|__|penultimate-exon>=55(nts)","uORFs|__|count","uORFs|__|gc-content","uORFs|__|lengths","uORFs|__|max-length","nif_feature","gene_id","gene.x","A","Coef.UPF3B_vs_Control","Coef.UPF3A_vs_Control","Coef.UPF3A_OE_vs_Control","Coef.DoubleKD_vs_Control","Coef.UPF3A_OE_UPF3B_KD_vs_Control","t.UPF3B_vs_Control","t.UPF3A_vs_Control","t.UPF3A_OE_vs_Control","t.DoubleKD_vs_Control","t.UPF3A_OE_UPF3B_KD_vs_Control","p.value.UPF3B_vs_Control","p.value.UPF3A_vs_Control","p.value.UPF3A_OE_vs_Control","p.value.DoubleKD_vs_Control","p.value.UPF3A_OE_UPF3B_KD_vs_Control","p.value.adj.UPF3B_vs_Control","p.value.adj.UPF3A_vs_Control","p.value.adj.UPF3A_OE_vs_Control","p.value.adj.DoubleKD_vs_Control","p.value.adj.UPF3A_OE_UPF3B_KD_vs_Control","F.y","F.p.value","Res.UPF3B_vs_Control","Res.UPF3A_vs_Control","Res.UPF3A_OE_vs_Control","Res.DoubleKD_vs_Control","Res.UPF3A_OE_UPF3B_KD_vs_Control","gene.y","entrez"
"11","ENSMUST00000001327",2683,2410.094,1.06055166758941,0.874708927995762,5.64869479677079,223.571091129257,4.48526379333469e-14,8.74263346916994e-11,1,"ENSMUST00000001327.11","0","0","0",0.5,0.639175257731959,0.581164807930607,0.533333333333333,"[0.6276595744680851, 0.5245098039215687, 0.7277227722772277, 0.5906432748538012, 0.6033057851239669, 0.5283018867924528, 0.5416666666666666, 0.5222222222222223, 0.564625850340136, 0.5670103092783505, 0.6205357142857143, 0.5772727272727273, 0.5485436893203883, 0.5900621118012422, 0.5384615384615384]","[0.47987761826312075, 0.4806671721000758, 0.611764705882353, 0.51440329218107, 0.4519774011299435, 0.5172413793103449, 0.48466257668711654, 0.43533236994219654, 0.505175983436853, 0.4529058116232465, 0.5504885993485342, 0.5973154362416108, 0.5405405405405406, 0.553921568627451]",97,2421,165,"[94, 204, 202, 171, 242, 159, 96, 90, 147, 194, 224, 220, 206, 161, 273]","[4249, 2638, 85, 729, 531, 203, 163, 2768, 483, 499, 307, 149, 259, 204]",15,NA,0,"","",NA,"None","ENSMUSG00000001281","Itgb7",4.21,1.433,0.915,-0.047,2.211,1.387,17.18,10.63,-0.49,27.45,16.63,0,0,0.62982,0,0,0,2e-06,0.943766,0,0,235.46,0,1,1,0,1,1,"Itgb7","16421"
"12","ENSMUST00000033503",673,400.522,1,2.75789886479458,1.46359953065989,214.82713363689,7.06721366265595e-14,1.26712470365165e-10,1,"ENSMUST00000033503.3","0","0","0",0.4,0.591836734693878,0.47427293064877,0.395480225988701,"[0.5263157894736842, 0.4492753623188406, 0.5, 0.43234323432343236]","[0.4743547860176413, 0.4495138369483919, 0.44]",49,447,177,"[76, 138, 156, 303]","[3061, 9359, 1200]",4,NA,0,"","",NA,"None","ENSMUSG00000031163","Glod5",2.19,0.954,2.714,0.136,2.886,0.99,3.78,12.33,0.48,13.15,3.98,0.00169,0,0.63587,0,0.00113,0.010607,0,0.944974,0,0.008899,66.36,0,1,1,0,1,1,"Glod5","69824"
"13","ENSMUST00000081927",1927,1654.094,1.0183828488025,1.54449331882062,2.87775240372843,214.686897863283,7.11989548383653e-14,1.26712470365165e-10,1,"ENSMUST00000081927.4","0","0","0",0.3,0.52112676056338,0.425925925925926,0.373961218836565,"[0.5245901639344263, 0.4606741573033708, 0.41134751773049644, 0.4661016949152542, 0.36363636363636365, 0.4807692307692308, 0.3858407079646018]","[0.4221556886227545, 0.36951316839584997, 0.3310502283105023, 0.39063591893780575, 0.3332043343653251, 0.4351464435146444]",71,1134,722,"[61, 178, 141, 118, 143, 156, 1130]","[1670, 1253, 438, 1431, 2584, 1912]",7,NA,0,"","",NA,"None","ENSMUSG00000057726","Serpinb9g",1.69,-1.047,1.523,-0.004,0.554,-1.382,-7.7,17.29,-0.03,5.62,-9.49,0,0,0.97391,4e-05,0,3.4e-05,0,0.997126,0.000266,5e-06,189.71,0,-1,1,0,0,-1,"Serpinb9g","93806"
"14","ENSMUST00000006392",3253,2980.094,1.01154656188035,1.9538160921892,3.33896861322057,201.282190642584,1.47863504306316e-13,2.32788339298862e-10,1,"ENSMUST00000006392.3","0","0","1",0.3,0.497435897435897,0.458553791887125,0.427234927234927,"[0.4972972972972973, 0.4606741573033708, 0.45652173913043476, 0.4576271186440678, 0.43356643356643354, 0.4935897435897436, 0.43211991434689506]","[0.47163695299837927, 0.4163116250760803, 0.3361522198731501, 0.4120791020844468, 0.35797665369649806, 0.4085794655414909]",195,1134,1924,"[185, 178, 138, 118, 143, 156, 2335]","[1851, 3286, 473, 1871, 2313, 1422]",7,NA,0,"","",NA,"One","ENSMUSG00000021403","Serpinb9b",1.36,1.624,1.944,-0.039,2.73,1.577,9.7,12.01,-0.19,17.58,9.42,0,0,0.85283,0,0,3e-06,0,0.978936,0,6e-06,97.52,0,1,1,0,1,1,"Serpinb9b","20706"
"15","ENSMUST00000029623",3014,2741.094,1,1.417921125178,2.97260554508508,193.708211844905,2.27847519928406e-13,3.45425279008497e-10,1,"ENSMUST00000029623.11","0","1","0",0.4,0.585127201565558,0.484076433121019,0.324324324324324,"[0.6653225806451613, 0.5120967741935484, 0.4745830023828435]","[0.6318537859007833, 0.4225821819914245]",511,2355,148,"[248, 248, 2518]","[383, 2099]",3,NA,2,"[0.6904761904761905, 0.5]","[42, 36]",42,"One","ENSMUSG00000027995","Tlr2",1.25,0.751,1.393,-0.042,1.812,0.647,6.47,13.07,-0.32,17.53,5.51,1e-05,0,0.75378,0,5e-05,0.000179,0,0.965396,0,0.000832,101.14,0,1,1,0,1,1,"Tlr2","24088"
"16","ENSMUST00000065587",3065,2792.094,1,1.41580671959657,2.87037924607336,172.359735135671,8.4010003855608e-13,9.55217079950445e-10,1,"ENSMUST00000065587.5","0","0","1",0.5,0.58955223880597,0.52157943067034,0.46471226927253,"[0.5925925925925926, 0.4866418667568482]","[0.4879983517049552]",134,1089,1842,"[108, 2957]","[9707]",2,NA,0,"","",NA,"One","ENSMUSG00000044337","Ackr3",1.16,-1.075,1.369,0.106,-0.396,-1.033,-5.98,11.71,0.76,-2.55,-5.85,2e-05,0,0.45593,0.02169,3e-05,0.000371,1e-06,0.904492,0.048781,0.000494,85.41,0,-1,1,0,0,-1,"Ackr3","12778"
"17","ENSMUST00000027012",1435,1162.094,1.0891014160258,-0.87159144110835,5.92542907085444,166.853325312911,1.2036444021931e-12,1.2965467451308e-09,-1,"ENSMUST00000027012.14","0","0","0",0.5,0.423728813559322,0.442959001782531,0.318897637795276,"[0.4393939393939394, 0.4117647058823529, 0.41836734693877553, 0.4425287356321839, 0.46382978723404256, 0.4861111111111111, 0.42727272727272725, 0.4423076923076923, 0.3172690763052209]","[0.3666045531880418, 0.3389441469013007, 0.2984441301272984, 0.36864864864864866, 0.34280559314388814, 0.31446540880503143, 0.39554541795250237, 0.3218390804597701]",59,1122,254,"[66, 255, 98, 174, 235, 144, 110, 104, 249]","[12343, 1307, 707, 925, 2217, 1113, 7453, 435]",9,NA,0,"","",NA,"None","ENSMUSG00000033538","Casp4",5.94,-1.066,-0.922,-0.154,-2.031,-1.332,-17.33,-15.1,-2.57,-31.07,-21.42,0,0,0.02072,0,0,0,0,0.411878,0,0,273.26,0,-1,-1,0,-1,-1,"Casp4","12363"
"18","ENSMUST00000109426",5387,5114.094,1.73879194007734,0.640307072768848,5.71203389163642,165.245881522649,1.33948137471055e-12,1.40587156694941e-09,1,"ENSMUST00000109426.3","0","0","0",0.4,0.773584905660377,0.52047815010778,0.398876404494382,"[0.7894736842105263, 0.5, 0.49324324324324326, 0.608843537414966, 0.5, 0.4861878453038674, 0.4925373134328358, 0.5178571428571429, 0.5901639344262295, 0.5163934426229508, 0.5338078291814946, 0.5414634146341464, 0.5446428571428571, 0.4186046511627907, 0.45161290322580644, 0.45864661654135336, 0.5178571428571429, 0.3673469387755102, 0.5793103448275863, 0.5245901639344263, 0.46099290780141844, 0.5362903225806451, 0.37398373983739835, 0.5508474576271186, 0.48627450980392156, 0.42857142857142855, 0.5251396648044693, 0.5217391304347826, 0.5191256830601093, 0.5454545454545454, 0.5643564356435643, 0.4358974358974359, 0.3958333333333333, 0.6193415637860082, 0.4610169491525424, 0.46551724137931033]","[0.4486664351737024, 0.4436253315941434, 0.4765957446808511, 0.4259893455098935, 0.38063063063063063, 0.4174318406554598, 0.451687337755985, 0.4474885844748858, 0.45387294639829856, 0.44123240775960443, 0.42548596112311016, 0.41096394407652687, 0.4029774127310062, 0.41660752306600424, 0.49624060150375937, 0.4415143603133159, 0.4619289340101523, 0.4258658008658009, 0.569620253164557, 0.4486345903771131, 0.4422279792746114, 0.41210374639769454, 0.40169332079021636, 0.44028103044496486, 0.4600096946194862, 0.44429910616960977, 0.4585687382297552, 0.4589473684210526, 0.4557224236147074, 0.4574688796680498, 0.4337952270977675, 0.4, 0.412862687118832, 0.3871268656716418, 0.4244779347164966]",106,5103,178,"[95, 44, 148, 294, 184, 181, 67, 56, 61, 122, 281, 205, 112, 43, 124, 133, 56, 49, 145, 122, 141, 248, 123, 118, 255, 77, 179, 92, 183, 132, 101, 39, 48, 486, 295, 348]","[60477, 68231, 1880, 21024, 2664, 7079, 13868, 438, 32443, 2629, 5556, 2718, 3896, 2818, 266, 7660, 985, 1848, 79, 1538, 3860, 3470, 1063, 2562, 2063, 4587, 1062, 950, 1931, 2892, 2598, 100, 5411, 1072, 29594]",36,NA,0,"","",NA,"None","ENSMUSG00000021662","Arhgef28",4.03,0.631,0.621,0.083,0.912,0.688,14.39,14.22,1.82,21.26,15.83,0,0,0.08849,0,0,0,0,0.612989,0,0,142.15,0,1,1,0,1,1,"Arhgef28","110596"
"19","ENSMUST00000048375",4223,3950.094,1.02022431036502,0.716109692691024,5.62901200935481,163.764646584035,1.47937862326742e-12,1.51388512965513e-09,1,"ENSMUST00000048375.6","0","1","1",0.6,0.695054945054945,0.572519083969466,0.540587219343696,"[0.6613272311212814, 0.5702479338842975, 0.5333333333333333, 0.5641025641025641, 0.5531914893617021, 0.6518987341772152, 0.6, 0.6082949308755761, 0.5081967213114754, 0.5857142857142857, 0.5406435224386114]","[0.5002294209415435, 0.5647058823529412, 0.5511531638083974, 0.48299111247318416, 0.5220588235294118, 0.5118829981718465, 0.6463414634146342, 0.5129310344827587, 0.6082474226804123, 0.5232974910394266]",728,1179,2316,"[874, 121, 30, 117, 47, 158, 105, 217, 122, 70, 2362]","[21794, 170, 1691, 3263, 136, 1641, 82, 464, 97, 837]",11,NA,1,"[0.7058823529411765]","[102]",102,"Two","ENSMUSG00000039157","Fam102a",3.57,0.738,0.666,-0.015,1.386,0.65,12.97,11.7,-0.25,25.62,11.38,0,0,0.80726,0,0,0,1e-06,0.976516,0,1e-06,184.85,0,1,1,0,1,1,"Fam102a","98952"
"20","ENSMUST00000027528",4499,4226.094,1,1.7584882522328,2.28394331224795,146.304785145336,5.08069398101113e-12,4.62151214943842e-09,1,"ENSMUST00000027528.7","0","0","1",0.6,0.642487046632124,0.574168076706148,0.518752467429925,"[0.6331360946745562, 0.5970149253731343, 0.6171171171171171, 0.6017699115044248, 0.5384615384615384, 0.5609756097560976, 0.5951219512195122, 0.5785714285714286, 0.5476190476190477, 0.5686274509803921, 0.5641025641025641, 0.5806451612903226, 0.5172413793103449, 0.5636363636363636, 0.5445544554455446, 0.51953125]","[0.4824761037778789, 0.4711858760826116, 0.6864406779661016, 0.4969770253929867, 0.5115384615384615, 0.4976470588235294, 0.49246231155778897, 0.497955474784189, 0.5144972239358421, 0.5480769230769231, 0.5126931567328918, 0.4784601283226398, 0.5108695652173914, 0.5241416309012875, 0.4675732217573222]",193,1773,2533,"[169, 134, 222, 113, 104, 123, 205, 140, 84, 153, 156, 93, 87, 55, 101, 2560]","[6591, 6004, 118, 1654, 1300, 1700, 1791, 2201, 1621, 208, 1812, 1091, 736, 1864, 2868]",16,NA,0,"","",NA,"One","ENSMUSG00000026303","Mlph",-0.09,1.571,1.543,0.107,2.528,1.176,8.53,8.39,0.5,14.84,6.16,0,0,0.62718,0,2e-05,1.3e-05,2.2e-05,0.943131,0,0.000318,62.22,0,1,1,0,1,1,"Mlph","171531"
"21","ENSMUST00000071873",1923,1650.094,1.00360636838398,2.01927872885291,1.63874915727357,141.315118033699,7.39904688103301e-12,6.30969137461092e-09,1,"ENSMUST00000071873.4","0","0","0",0.3,0.492957746478873,0.428571428571429,0.374651810584958,"[0.4918032786885246, 0.46629213483146065, 0.41843971631205673, 0.423728813559322, 0.3706293706293706, 0.48717948717948717, 0.38987566607460034]","[0.41723594324750396, 0.3683737646001797, 0.3295194508009153, 0.3864104323953329, 0.33360064153969526, 0.4435146443514644]",71,1134,718,"[61, 178, 141, 118, 143, 156, 1126]","[1903, 1113, 437, 1457, 2494, 1912]",7,NA,0,"","",NA,"None","ENSMUSG00000062342","Serpinb9e",0.18,-1.031,2,-0.326,1.52,-1.602,-4.37,13.05,-1.58,9.46,-6.2,5e-04,0,0.13396,0,1e-05,0.00423,0,0.691138,1e-06,0.000301,120.79,0,-1,1,0,1,-1,"Serpinb9e","20710"
